id,postcode,name,incidents,x,y
414,13214,Marseille 14e Arrondissement,5,"5,399","43,335"
415,51153,Chouilly,10,"3,974","49,024"
416,54542,Valleroy,1,"5,919","49,21"
417,75117,Paris 17e Arrondissement,1,"2,317","48,899"
418,59365,Louvroil,1,"3,966","50,268"
419,25047,Baume-les-Dames,2,"6,372","47,356"
420,93033,Gournay-sur-Marne,1,"2,576","48,855"
421,91114,Brunoy,1,"2,509","48,699"
422,10067,Buchères,2,"4,118","48,243"
423,10387,Troyes,1,"4,092","48,292"
424,57631,Sarreguemines,1,"7,063","49,113"
425,68109,Griesbach-au-Val,1,"7,175","48,043"
426,94021,Chevilly-Larue,1,"2,368","48,763"
427,74250,Saint-Pierre-en-Faucigny,1,"6,371","46,084"
428,51454,Reims,1,"4,024","49,233"
429,33069,Le Bouscat,2,"-0,619","44,874"
430,68293,Saint-Cosme,6,"7,063","47,684"
431,72181,Le Mans,1,"0,162","48,02"
432,83069,Hyères,1,"6,11","43,122"
433,13103,Salon-de-Provence,3,"5,094","43,684"
434,59588,Téteghem-Coudekerque-Village,1,"2,427","51,029"
435,44109,Nantes,1,"-1,579","47,217"
436,87085,Limoges,1,"1,272","45,848"
437,76057,Barentin,1,"0,961","49,538"
438,69116,Limonest,1,"4,766","45,821"
439,82101,Malause,1,"0,985","44,086"
440,17461,Vaux-sur-Mer,1,"-1,053","45,644"
441,93001,Aubervilliers,1,"2,371","48,903"
442,27375,Louviers,1,"1,17","49,216"
443,74267,Sevrier,1,"6,138","45,857"
444,94067,Saint-Mandé,2,"2,418","48,838"
445,45234,Orléans,1,"1,919","47,902"
446,75116,Paris 16e Arrondissement,1,"2,289","48,863"
447,92020,Châtillon,2,"2,289","48,804"
448,22278,Saint-Brieuc,1,"-2,752","48,508"
449,33039,Bègles,1,"-0,567","44,788"
450,29254,Saint-Martin-des-Champs,1,"-3,854","48,572"
451,35051,Cesson-Sévigné,1,"-1,599","48,114"
452,2A004,Ajaccio,1,"8,745","41,941"
453,50129,Cherbourg-en-Cotentin,1,"-1,622","49,633"
454,38533,Venon,3,"5,806","45,165"
455,51425,Passy-Grigny,1,"3,714","49,146"
456,69266,Villeurbanne,1,"4,909","45,761"
457,75116,Paris 16e Arrondissement,1,"2,289","48,859"
458,91064,Bièvres,1,"2,223","48,752"
459,49007,Angers,1,"-0,517","47,462"
460,69383,Lyon 3e Arrondissement,1,"4,876","45,755"
461,29071,Guilligomarc'h,1,"-3,432","47,932"
462,95572,Saint-Ouen-l'Aumône,1,"2,128","49,028"
463,44184,Saint-Nazaire,1,"-2,216","47,269"
464,92036,Gennevilliers,3,"2,302","48,93"
465,34332,Vias,1,"3,391","43,313"
466,2A247,Porto-Vecchio,1,"9,27","41,601"
467,29058,Fouesnant,1,"-4,009","47,901"
468,75104,Paris 4e Arrondissement,1,"2,366","48,848"
469,69389,Lyon 9e Arrondissement,2,"4,802","45,791"
470,11024,Bages,1,"2,961","43,129"
471,31555,Toulouse,1,"1,452","43,615"
472,33063,Bordeaux,1,"-0,573","44,815"
473,37261,Tours,3,"0,671","47,375"
474,54395,Nancy,1,"6,193","48,686"
475,64249,Guéthary,1,"-1,61","43,417"
476,54382,Mont-Saint-Martin,1,"5,783","49,546"
477,91174,Corbeil-Essonnes,1,"2,476","48,58"
478,27105,Grand Bourgtheroulde,2,"0,895","49,316"
479,37050,Chambray-lès-Tours,2,"0,68","47,331"
480,77132,Coupvray,1,"2,789","48,863"
481,92020,Châtillon,1,"2,299","48,811"
482,53168,Nuillé-sur-Vicoin,1,"-0,783","47,986"
483,82121,Montauban,1,"1,322","43,976"
484,72181,Le Mans,1,"0,198","47,979"
485,37261,Tours,1,"0,688","47,415"
486,13071,Les Pennes-Mirabeau,1,"5,317","43,378"
487,72181,Le Mans,1,"0,205","47,979"
488,6018,Biot,1,"7,059","43,622"
489,14269,Fierville-les-Parcs,4,"0,226","49,25"
490,83153,Saint-Mandrier-sur-Mer,1,"5,911","43,074"
491,49007,Angers,1,"-0,565","47,479"
492,54274,Jarville-la-Malgrange,1,"6,201","48,675"
493,72181,Le Mans,1,"0,202","48,004"
494,78206,Ecquevilly,2,"1,945","48,949"
495,40212,Orthevielle,1,"-1,146","43,557"
496,75117,Paris 17e Arrondissement,2,"2,295","48,878"
497,39013,Arbois,1,"5,769","46,907"
498,91286,Grigny,1,"2,39","48,644"
499,54300,Laneuveville-devant-Nancy,1,"6,229","48,659"
500,83073,Le Luc,1,"6,324","43,394"
501,93055,Pantin,1,"2,417","48,894"
502,94028,Créteil,2,"2,441","48,781"
503,91666,Villejust,1,"2,232","48,68"
504,34245,Saint-Chinian,1,"2,947","43,422"
505,91689,Wissous,1,"2,317","48,739"
506,22113,Lannion,1,"-3,458","48,729"
507,7272,Saint-Maurice-d'Ardèche,1,"4,413","44,527"
508,18279,Vierzon,1,"2,028","47,237"
509,87085,Limoges,1,"1,268","45,826"
510,38449,Saint-Quentin-Fallavier,1,"5,116","45,65"
511,34344,La Grande-Motte,2,"4,077","43,561"
512,64102,Bayonne,1,"-1,482","43,481"
513,74096,Cruseilles,1,"6,107","46,034"
514,68066,Colmar,1,"7,348","48,072"
515,80219,Courcelles-sous-Thoix,1,"2,073","49,725"
516,40282,Saint-Sever,2,"-0,569","43,773"
517,33032,Bassens,1,"-0,536","44,911"
518,13005,Aubagne,1,"5,589","43,269"
519,45051,Bray-Saint-Aignan,1,"2,362","47,834"
520,69152,Pierre-Bénite,1,"4,815","45,706"
521,92077,Ville-d'Avray,1,"2,198","48,825"
522,29039,Concarneau,1,"-3,906","47,876"
523,64269,Idron,1,"-0,324","43,286"
524,47043,Buzet-sur-Baïse,2,"0,316","44,245"
525,72181,Le Mans,1,"0,199",48
526,92040,Issy-les-Moulineaux,1,"2,26","48,826"
527,63113,Clermont-Ferrand,1,"3,084","45,793"
528,77384,Réau,1,"2,614","48,595"
529,50129,Cherbourg-en-Cotentin,1,"-1,578","49,641"
530,38065,Châbons,4,"5,4","45,449"
531,34057,Castelnau-le-Lez,1,"3,906","43,634"
532,94046,Maisons-Alfort,1,"2,434","48,796"
533,54523,Ochey,1,"5,974","48,574"
534,59512,Roubaix,1,"3,179","50,695"
535,69387,Lyon 7e Arrondissement,1,"4,838","45,746"
536,6109,La Roquette-sur-Var,1,"7,194","43,83"
537,59599,Tourcoing,1,"3,164","50,723"
538,75114,Paris 14e Arrondissement,1,"2,307","48,828"
539,13204,Marseille 4e Arrondissement,1,"5,403","43,309"
540,49099,Cholet,1,"-0,862","47,06"
